ORF_ID	AMR_Gene_Family	Antibiotic
k141_18039_126	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k141_18039_126	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k141_1940_119	fosfomycin thiol transferase	fosfomycin
k141_1940_119	fosfomycin thiol transferase	fosfomycin
k141_1940_119	fosfomycin thiol transferase	fosfomycin
k141_1969_162	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k141_1969_162	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k141_1969_162	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k141_21_29	vanW; glycopeptide resistance gene cluster	vancomycin
k141_21_29	vanW; glycopeptide resistance gene cluster	vancomycin
k141_21_29	vanW; glycopeptide resistance gene cluster	vancomycin
k141_24784_1	ANT(2'')	dibekacin; sisomicin; kanamycin A; tobramycin; gentamicin
k141_24784_1	ANT(2'')	dibekacin; sisomicin; kanamycin A; tobramycin; gentamicin
k141_24784_1	ANT(2'')	dibekacin; sisomicin; kanamycin A; tobramycin; gentamicin
k141_24784_2	ANT(3'')	spectinomycin; streptomycin
k141_24784_2	ANT(3'')	spectinomycin; streptomycin
k141_24784_2	ANT(3'')	spectinomycin; streptomycin
k141_24784_3	sulfonamide resistant sul	sulfadiazine; sulfadimidine; sulfadoxine; sulfamethoxazole; sulfisoxazole; sulfacetamide; mafenide; sulfasalazine; sulfamethizole
k141_24784_3	sulfonamide resistant sul	sulfadiazine; sulfadimidine; sulfadoxine; sulfamethoxazole; sulfisoxazole; sulfacetamide; mafenide; sulfasalazine; sulfamethizole
k141_24784_3	sulfonamide resistant sul	sulfadiazine; sulfadimidine; sulfadoxine; sulfamethoxazole; sulfisoxazole; sulfacetamide; mafenide; sulfasalazine; sulfamethizole
k141_25108_18	pmr phosphoethanolamine transferase	colistin A; colistin B
k141_25108_18	pmr phosphoethanolamine transferase	colistin A; colistin B
k141_25108_18	pmr phosphoethanolamine transferase	colistin A; colistin B
k141_25626_32	resistance-nodulation-cell division (RND) antibiotic efflux pump	erythromycin; cloxacillin; oxacillin; norfloxacin
k141_25626_32	resistance-nodulation-cell division (RND) antibiotic efflux pump	erythromycin; cloxacillin; oxacillin; norfloxacin
k141_25626_32	resistance-nodulation-cell division (RND) antibiotic efflux pump	erythromycin; cloxacillin; oxacillin; norfloxacin
k141_2758_73	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_2758_73	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_2758_73	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_28364_309	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k141_28364_309	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k141_28364_309	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k141_2842_4	chloramphenicol acetyltransferase (CAT)	azidamfenicol; chloramphenicol; thiamphenicol
k141_2842_4	chloramphenicol acetyltransferase (CAT)	azidamfenicol; chloramphenicol; thiamphenicol
k141_2842_4	chloramphenicol acetyltransferase (CAT)	azidamfenicol; chloramphenicol; thiamphenicol
k141_29646_4	vanY; glycopeptide resistance gene cluster	vancomycin
k141_29646_4	vanY; glycopeptide resistance gene cluster	vancomycin
k141_29646_4	vanY; glycopeptide resistance gene cluster	vancomycin
k141_3032_4	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k141_3032_4	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k141_3032_4	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k141_3032_64	OXA beta-lactamase	cloxacillin; oxacillin; ampicillin; cefalotin
k141_3032_64	OXA beta-lactamase	cloxacillin; oxacillin; ampicillin; cefalotin
k141_3032_64	OXA beta-lactamase	cloxacillin; oxacillin; ampicillin; cefalotin
k141_34022_28	major facilitator superfamily (MFS) antibiotic efflux pump	
k141_34022_28	major facilitator superfamily (MFS) antibiotic efflux pump	
k141_34022_28	major facilitator superfamily (MFS) antibiotic efflux pump	
k141_34310_3	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k141_34310_3	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k141_34310_3	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k141_34670_14	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	tigecycline; ciprofloxacin; acriflavine; tetracycline; rifampin; chloramphenicol; ampicillin; norfloxacin; cefalotin; triclosan
k141_34670_14	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	tigecycline; ciprofloxacin; acriflavine; tetracycline; rifampin; chloramphenicol; ampicillin; norfloxacin; cefalotin; triclosan
k141_34670_14	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	tigecycline; ciprofloxacin; acriflavine; tetracycline; rifampin; chloramphenicol; ampicillin; norfloxacin; cefalotin; triclosan
k141_3511_204	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k141_3511_204	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k141_3511_204	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k141_36_93	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k141_36_93	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k141_36_93	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k141_37023_143	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_37023_143	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_37023_143	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_37023_8	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k141_37023_8	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k141_37023_8	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k141_3735_2	major facilitator superfamily (MFS) antibiotic efflux pump	
k141_3735_2	major facilitator superfamily (MFS) antibiotic efflux pump	
k141_3735_2	major facilitator superfamily (MFS) antibiotic efflux pump	
k141_39205_2	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k141_39205_2	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k141_39205_2	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k141_4048_158	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_4048_158	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_4048_158	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_41102_10	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_41102_10	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_41102_10	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_4211_2	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline
k141_4211_2	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline
k141_4211_2	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline
k141_4960_171	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_4960_171	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_4960_171	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_5104_19	LUT beta-lactamase	
k141_5104_19	LUT beta-lactamase	
k141_5104_19	LUT beta-lactamase	
k141_5104_20	vanH; glycopeptide resistance gene cluster	vancomycin
k141_5104_20	vanH; glycopeptide resistance gene cluster	vancomycin
k141_5104_20	vanH; glycopeptide resistance gene cluster	vancomycin
k141_5104_32	glycopeptide resistance gene cluster; Van ligase	vancomycin
k141_5104_32	glycopeptide resistance gene cluster; Van ligase	vancomycin
k141_5104_32	glycopeptide resistance gene cluster; Van ligase	vancomycin
k141_5113_10	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_5113_10	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_5113_10	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_54285_1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline
k141_54285_1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline
k141_54285_1	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline
k141_5581_293	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_5581_293	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_5581_293	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_5581_421	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k141_5581_421	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k141_5581_421	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k141_6122_6	resistance-nodulation-cell division (RND) antibiotic efflux pump	vancomycin; tigecycline; tetracycline; linezolid; rifampin; chloramphenicol; ampicillin; cefalotin; triclosan
k141_6122_6	resistance-nodulation-cell division (RND) antibiotic efflux pump	vancomycin; tigecycline; tetracycline; linezolid; rifampin; chloramphenicol; ampicillin; cefalotin; triclosan
k141_6122_6	resistance-nodulation-cell division (RND) antibiotic efflux pump	vancomycin; tigecycline; tetracycline; linezolid; rifampin; chloramphenicol; ampicillin; cefalotin; triclosan
k141_62047_8	major facilitator superfamily (MFS) antibiotic efflux pump	
k141_62047_8	major facilitator superfamily (MFS) antibiotic efflux pump	
k141_62047_8	major facilitator superfamily (MFS) antibiotic efflux pump	
k141_66371_17	ATP-binding cassette (ABC) antibiotic efflux pump	metronidazole
k141_66371_17	ATP-binding cassette (ABC) antibiotic efflux pump	metronidazole
k141_66371_17	ATP-binding cassette (ABC) antibiotic efflux pump	metronidazole
k141_66371_424	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_66371_424	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_66371_424	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_66371_425	resistance-nodulation-cell division (RND) antibiotic efflux pump	tigecycline; ciprofloxacin; nitrofurantoin; trimethoprim
k141_66371_425	resistance-nodulation-cell division (RND) antibiotic efflux pump	tigecycline; ciprofloxacin; nitrofurantoin; trimethoprim
k141_66371_425	resistance-nodulation-cell division (RND) antibiotic efflux pump	tigecycline; ciprofloxacin; nitrofurantoin; trimethoprim
k141_66371_616	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	erythromycin; cloxacillin; ciprofloxacin; tetracycline; oxacillin; norfloxacin
k141_66371_616	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	erythromycin; cloxacillin; ciprofloxacin; tetracycline; oxacillin; norfloxacin
k141_66371_616	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	erythromycin; cloxacillin; ciprofloxacin; tetracycline; oxacillin; norfloxacin
k141_66371_676	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	tigecycline; tetracycline; rifampin; chloramphenicol; ampicillin; cefalotin; triclosan
k141_66371_676	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	tigecycline; tetracycline; rifampin; chloramphenicol; ampicillin; cefalotin; triclosan
k141_66371_676	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	tigecycline; tetracycline; rifampin; chloramphenicol; ampicillin; cefalotin; triclosan
k141_66371_677	resistance-nodulation-cell division (RND) antibiotic efflux pump	tigecycline; ciprofloxacin; tetracycline; rifampin; chloramphenicol; ampicillin; cefalotin; triclosan
k141_66371_677	resistance-nodulation-cell division (RND) antibiotic efflux pump	tigecycline; ciprofloxacin; tetracycline; rifampin; chloramphenicol; ampicillin; cefalotin; triclosan
k141_66371_677	resistance-nodulation-cell division (RND) antibiotic efflux pump	tigecycline; ciprofloxacin; tetracycline; rifampin; chloramphenicol; ampicillin; cefalotin; triclosan
k141_67781_17	small multidrug resistance (SMR) antibiotic efflux pump	erythromycin; streptomycin; tetracycline; cefepime; ceftriaxone; rifampin; colistin A; colistin B; triclosan; benzalkonium chloride; chlorhexidine
k141_67781_17	small multidrug resistance (SMR) antibiotic efflux pump	erythromycin; streptomycin; tetracycline; cefepime; ceftriaxone; rifampin; colistin A; colistin B; triclosan; benzalkonium chloride; chlorhexidine
k141_67781_17	small multidrug resistance (SMR) antibiotic efflux pump	erythromycin; streptomycin; tetracycline; cefepime; ceftriaxone; rifampin; colistin A; colistin B; triclosan; benzalkonium chloride; chlorhexidine
k141_67781_18	small multidrug resistance (SMR) antibiotic efflux pump	erythromycin; streptomycin; tetracycline; cefepime; ceftriaxone; rifampin; colistin A; colistin B; triclosan; benzalkonium chloride; chlorhexidine
k141_67781_18	small multidrug resistance (SMR) antibiotic efflux pump	erythromycin; streptomycin; tetracycline; cefepime; ceftriaxone; rifampin; colistin A; colistin B; triclosan; benzalkonium chloride; chlorhexidine
k141_67781_18	small multidrug resistance (SMR) antibiotic efflux pump	erythromycin; streptomycin; tetracycline; cefepime; ceftriaxone; rifampin; colistin A; colistin B; triclosan; benzalkonium chloride; chlorhexidine
k141_69905_2	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_69905_2	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_69905_2	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_76736_1	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k141_76736_1	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k141_76736_1	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k141_77646_9	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_77646_9	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_77646_9	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_77741_1	aminosalicylate resistant dihydrofolate synthase	para-aminosalicylic acid
k141_77741_1	aminosalicylate resistant dihydrofolate synthase	para-aminosalicylic acid
k141_77741_1	aminosalicylate resistant dihydrofolate synthase	para-aminosalicylic acid
k141_78003_10	vanY; glycopeptide resistance gene cluster	vancomycin; teicoplanin
k141_78003_10	vanY; glycopeptide resistance gene cluster	vancomycin; teicoplanin
k141_78003_10	vanY; glycopeptide resistance gene cluster	vancomycin; teicoplanin
k141_78837_17	fosfomycin thiol transferase	ciprofloxacin; gentamicin
k141_78837_17	fosfomycin thiol transferase	ciprofloxacin; gentamicin
k141_78837_17	fosfomycin thiol transferase	ciprofloxacin; gentamicin
k141_78837_182	major facilitator superfamily (MFS) antibiotic efflux pump	acriflavine; puromycin
k141_78837_182	major facilitator superfamily (MFS) antibiotic efflux pump	acriflavine; puromycin
k141_78837_182	major facilitator superfamily (MFS) antibiotic efflux pump	acriflavine; puromycin
k141_78837_189	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	ceftriaxone; ampicillin; cefaclor; cefotaxime; cefditoren; cefdinir
k141_78837_189	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	ceftriaxone; ampicillin; cefaclor; cefotaxime; cefditoren; cefdinir
k141_78837_189	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	ceftriaxone; ampicillin; cefaclor; cefotaxime; cefditoren; cefdinir
k141_81516_8	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_81516_8	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_81516_8	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_8513_200	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_8513_200	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_8513_200	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_8547_59	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_8547_59	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_8547_59	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_8777_199	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_8777_199	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_8777_199	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k141_89003_98	pmr phosphoethanolamine transferase	colistin A; colistin B
k141_89003_98	pmr phosphoethanolamine transferase	colistin A; colistin B
k141_89003_98	pmr phosphoethanolamine transferase	colistin A; colistin B
k141_8937_2	APH(3'')	streptomycin
k141_8937_2	APH(3'')	streptomycin
k141_8937_2	APH(3'')	streptomycin
k141_8937_3	APH(6)	streptomycin
k141_8937_3	APH(6)	streptomycin
k141_8937_3	APH(6)	streptomycin
k191_101137_2	aminosalicylate resistant dihydrofolate synthase	para-aminosalicylic acid
k191_101137_2	aminosalicylate resistant dihydrofolate synthase	para-aminosalicylic acid
k191_101137_2	aminosalicylate resistant dihydrofolate synthase	para-aminosalicylic acid
k191_1045428_34	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin
k191_1045428_34	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin
k191_1045428_34	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin
k191_1050147_6	tetracycline-resistant ribosomal protection protein	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline
k191_1050147_6	tetracycline-resistant ribosomal protection protein	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline
k191_1050147_6	tetracycline-resistant ribosomal protection protein	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline
k191_1052436_132	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin
k191_1052436_132	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin
k191_1052436_132	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin
k191_1052436_133	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin
k191_1052436_133	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin
k191_1052436_133	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin
k191_1052436_14	fosfomycin thiol transferase	fosfomycin
k191_1052436_14	fosfomycin thiol transferase	fosfomycin
k191_1052436_14	fosfomycin thiol transferase	fosfomycin
k191_1052436_6	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_1052436_6	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_1052436_6	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride
k191_105603_1	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	tigecycline; ciprofloxacin; acriflavine; tetracycline; rifampin; chloramphenicol; ampicillin; norfloxacin; cefalotin; triclosan
k191_105603_1	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	tigecycline; ciprofloxacin; acriflavine; tetracycline; rifampin; chloramphenicol; ampicillin; norfloxacin; cefalotin; triclosan
k191_105603_1	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	tigecycline; ciprofloxacin; acriflavine; tetracycline; rifampin; chloramphenicol; ampicillin; norfloxacin; cefalotin; triclosan
k191_107198_3	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_107198_3	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_107198_3	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_1097027_3	fosfomycin thiol transferase	fosfomycin
k191_1097027_3	fosfomycin thiol transferase	fosfomycin
k191_1097027_3	fosfomycin thiol transferase	fosfomycin
k191_111328_114	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_111328_114	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_111328_114	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_111328_957	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_111328_957	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_111328_957	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline
k191_111763_21	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k191_111763_21	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k191_111763_21	resistance-nodulation-cell division (RND) antibiotic efflux pump	trimethoprim; chloramphenicol
k191_112290_196	glycopeptide resistance gene cluster; Van ligase	vancomycin
k191_112290_196	glycopeptide resistance gene cluster; Van ligase	vancomycin
k191_112290_196	glycopeptide resistance gene cluster; Van ligase	vancomycin
